size_mb,k_datos,m_paridad,object_id,tiempo_encoding_s,tiempo_decoding_s,tiempo_io_write_orig_s,tiempo_io_read_orig_s,tiempo_io_write_frag_s,tiempo_io_read_frag_s
100,10,4,30,0.244172,0.035099,0.033608,0.039714,0.052577,0.049020
100,10,4,31,0.243867,0.035651,0.033699,0.037961,0.051528,0.047026
1000,4,2,1,1.439226,0.286471,0.306651,0.293240,0.459036,0.439251
1000,4,2,2,1.455156,0.302818,0.307555,0.322515,0.473527,0.455490
1000,4,2,3,1.457985,0.291204,0.314114,0.317820,0.471143,0.454146
1000,4,2,4,1.457580,0.290381,0.312964,0.328141,0.466677,0.454853
1000,4,2,5,1.460171,0.291021,0.311233,0.322475,0.473459,0.457326
1000,4,2,6,1.456781,0.288336,0.320048,0.328101,0.474508,0.452312
1000,4,2,7,1.456171,0.287124,0.312732,0.322718,0.470530,0.451133
1000,4,2,8,1.463729,0.290615,0.320975,0.323993,0.471128,0.457389
1000,4,2,9,1.460395,0.291217,0.312355,0.317839,0.474743,0.455271
1000,4,2,10,1.452790,0.293667,0.311545,0.328009,0.463455,0.452570
1000,4,2,11,1.451982,0.291068,0.307335,0.323625,0.473547,0.453257
