algoritmo,size_mb,object_id,time_seconds,tiempo_io_write_orig_s,tiempo_io_read_orig_s
BLAKE3,1000,14,0.280806,1.065985,0.413093
BLAKE3,1000,15,0.283341,1.812404,0.422207
BLAKE3,1000,16,0.277727,8.724664,0.426062
BLAKE3,1000,17,0.284197,9.090260,0.412151
BLAKE3,1000,18,0.283295,1.049023,0.421399
BLAKE3,1000,19,0.272988,1.075212,0.416437
BLAKE3,1000,20,0.284254,1.329837,0.420691
BLAKE3,1000,21,0.283456,1.366441,0.423135
BLAKE3,1000,22,0.272878,1.333872,0.416745
BLAKE3,1000,23,0.284162,1.332656,0.410554
BLAKE3,1000,24,0.283377,1.169656,0.415728
BLAKE3,1000,25,0.272760,1.058456,0.417729
BLAKE3,1000,26,0.284351,1.047114,0.408492
BLAKE3,1000,27,0.283240,1.070006,0.412831
BLAKE3,1000,28,0.273152,1.034173,0.406344
BLAKE3,1000,29,0.284234,1.017315,0.404357
BLAKE3,1000,30,0.283433,1.031798,0.409415
BLAKE3,1000,31,0.272957,1.067075,0.412074
HMAC_SHA256,1,1,0.000576,0.000687,0.039185
HMAC_SHA256,1,2,0.000563,0.000516,0.000163
HMAC_SHA256,1,3,0.000557,0.000504,0.000159
HMAC_SHA256,1,4,0.000559,0.000487,0.000154
HMAC_SHA256,1,5,0.000562,0.000503,0.000151
HMAC_SHA256,1,6,0.000561,0.000493,0.000154
HMAC_SHA256,1,7,0.000555,0.000499,0.000154
HMAC_SHA256,1,8,0.000558,0.000506,0.000155
HMAC_SHA256,1,9,0.000562,0.000500,0.000158
HMAC_SHA256,1,10,0.000559,0.000499,0.000150
HMAC_SHA256,1,11,0.000565,0.000532,0.000154
HMAC_SHA256,1,12,0.000556,0.000511,0.000160
HMAC_SHA256,1,13,0.000557,0.000505,0.000160
HMAC_SHA256,1,14,0.000555,0.000507,0.000161
HMAC_SHA256,1,15,0.000558,0.000506,0.000159
HMAC_SHA256,1,16,0.000561,0.000503,0.000153
HMAC_SHA256,1,17,0.000552,0.000535,0.000157
HMAC_SHA256,1,18,0.000559,0.000517,0.000158
HMAC_SHA256,1,19,0.000557,0.000505,0.000151
HMAC_SHA256,1,20,0.000553,0.000517,0.000157
HMAC_SHA256,1,21,0.000558,0.000511,0.000165
HMAC_SHA256,1,22,0.000555,0.000508,0.000155
HMAC_SHA256,1,23,0.000557,0.000536,0.000156
HMAC_SHA256,1,24,0.000559,0.000509,0.000161
HMAC_SHA256,1,25,0.000556,0.000508,0.000156
HMAC_SHA256,1,26,0.000558,0.000518,0.000160
HMAC_SHA256,1,27,0.000561,0.000510,0.000160
HMAC_SHA256,1,28,0.000564,0.000509,0.000155
HMAC_SHA256,1,29,0.000560,0.000522,0.000155
HMAC_SHA256,1,30,0.000559,0.000509,0.000163
HMAC_SHA256,1,31,0.000558,0.000505,0.000164
HMAC_SHA256,10,1,0.007035,0.006950,0.003438
HMAC_SHA256,10,2,0.005460,0.006255,0.002153
HMAC_SHA256,10,3,0.005461,0.006018,0.002097
HMAC_SHA256,10,4,0.005452,0.006059,0.002102
HMAC_SHA256,10,5,0.005444,0.005946,0.002164
HMAC_SHA256,10,6,0.005457,0.006029,0.002097
HMAC_SHA256,10,7,0.005452,0.006056,0.002132
HMAC_SHA256,10,8,0.005456,0.005927,0.002160
HMAC_SHA256,10,9,0.005461,0.005984,0.002126
HMAC_SHA256,10,10,0.005455,0.006044,0.002099
HMAC_SHA256,10,11,0.005452,0.005955,0.002140
HMAC_SHA256,10,12,0.005456,0.006008,0.002148
HMAC_SHA256,10,13,0.005457,0.006044,0.002091
HMAC_SHA256,10,14,0.005450,0.005954,0.002165
HMAC_SHA256,10,15,0.005453,0.006014,0.002146
HMAC_SHA256,10,16,0.005452,0.006083,0.002120
HMAC_SHA256,10,17,0.005459,0.005958,0.002201
HMAC_SHA256,10,18,0.005458,0.006026,0.002134
HMAC_SHA256,10,19,0.005455,0.006083,0.002083
HMAC_SHA256,10,20,0.005454,0.005955,0.002171
HMAC_SHA256,10,21,0.005449,0.006043,0.002135
HMAC_SHA256,10,22,0.005451,0.006057,0.002125
HMAC_SHA256,10,23,0.005461,0.005952,0.002155
HMAC_SHA256,10,24,0.005462,0.006036,0.002104
HMAC_SHA256,10,25,0.005441,0.006039,0.002134
HMAC_SHA256,10,26,0.005434,0.005996,0.002551
