algoritmo,size_mb,object_id,ratio_compresion,tiempo_compresion_s,tiempo_io_write_orig_s,tiempo_io_read_orig_s,tiempo_io_write_comp_s,tiempo_io_read_comp_s,tiempo_descompresion_s
ZLIB,1000,31,159.01x,3.861923,6.152068,0.420636,0.071108,0.001085,1.305162
BZ2,1,1,1191.56x,0.195637,0.000609,0.036526,0.000231,0.000019,0.045505
BZ2,1,2,1191.56x,0.188165,0.000554,0.000110,0.000214,0.000017,0.009055
BZ2,1,3,1191.56x,0.189613,0.000548,0.000145,0.000216,0.000018,0.009160
BZ2,1,4,1191.56x,0.190049,0.000571,0.000089,0.000126,0.000014,0.008907
BZ2,1,5,1191.56x,0.188822,0.000567,0.000143,0.000135,0.000014,0.008753
BZ2,1,6,1191.56x,0.189397,0.000583,0.000143,0.000130,0.000014,0.008991
BZ2,1,7,1191.56x,0.188113,0.000589,0.000094,0.000217,0.000018,0.009229
BZ2,1,8,1191.56x,0.189170,0.000571,0.000144,0.000130,0.000013,0.008818
BZ2,1,9,1191.56x,0.188675,0.000565,0.000143,0.000217,0.000018,0.008978
BZ2,1,10,1191.56x,0.188302,0.000573,0.000098,0.000127,0.000013,0.009030
BZ2,1,11,1191.56x,0.188465,0.000580,0.000151,0.000214,0.000018,0.009156
BZ2,1,12,1191.56x,0.189050,0.000571,0.000150,0.000212,0.000018,0.009147
BZ2,1,13,1191.56x,0.188060,0.000565,0.000092,0.000129,0.000014,0.008942
BZ2,1,14,1191.56x,0.188453,0.000577,0.000148,0.000207,0.000017,0.009046
BZ2,1,15,1191.56x,0.188548,0.000588,0.000146,0.000214,0.000019,0.009286
BZ2,1,16,1191.56x,0.188172,0.000561,0.000090,0.000128,0.000014,0.008951
BZ2,1,17,1191.56x,0.188397,0.000582,0.000146,0.000124,0.000013,0.008844
BZ2,1,18,1191.56x,0.188824,0.000586,0.000147,0.002408,0.000054,0.009624
BZ2,1,19,1191.56x,0.188148,0.000599,0.000103,0.000218,0.000020,0.009021
BZ2,1,20,1191.56x,0.188712,0.000569,0.000146,0.000133,0.000014,0.008931
BZ2,1,21,1191.56x,0.188844,0.000586,0.000145,0.000170,0.000014,0.008949
BZ2,1,22,1191.56x,0.188152,0.000560,0.000093,0.000213,0.000018,0.009193
BZ2,1,23,1191.56x,0.189126,0.000563,0.000142,0.000217,0.000018,0.009048
